epoch : 146/500, train loss = 3.9413, val loss = 6.7549
epoch : 147/500, train loss = 3.9798, val loss = 5.0811
epoch : 148/500, train loss = 3.9375, val loss = 3.8083
epoch : 149/500, train loss = 3.5593, val loss = 3.3414
epoch : 150/500, train loss = 3.4377, val loss = 3.3387
epoch : 151/500, train loss = 3.6342, val loss = 3.4597
epoch : 152/500, train loss = 3.3468, val loss = 3.3129
epoch : 153/500, train loss = 4.3127, val loss = 4.0724
epoch : 154/500, train loss = 4.7141, val loss = 7.5810
epoch : 155/500, train loss = 3.8137, val loss = 3.8131
epoch : 156/500, train loss = 3.4155, val loss = 4.1793
epoch : 157/500, train loss = 3.5113, val loss = 3.3247
epoch : 158/500, train loss = 3.3542, val loss = 3.7975
epoch : 159/500, train loss = 3.3354, val loss = 3.6474
epoch : 160/500, train loss = 3.2835, val loss = 3.1685
epoch : 161/500, train loss = 3.2602, val loss = 3.4272
epoch : 162/500, train loss = 3.5348, val loss = 3.0273
epoch : 163/500, train loss = 3.4453, val loss = 3.0208
epoch : 164/500, train loss = 3.5471, val loss = 3.5956
epoch : 165/500, train loss = 3.3265, val loss = 4.0052
epoch : 166/500, train loss = 3.3035, val loss = 3.1004
epoch : 167/500, train loss = 3.1420, val loss = 3.3760
epoch : 168/500, train loss = 3.0914, val loss = 3.1662
epoch : 169/500, train loss = 2.9898, val loss = 4.3317
epoch : 170/500, train loss = 3.1745, val loss = 3.1221
epoch : 171/500, train loss = 3.3040, val loss = 3.5607
epoch : 172/500, train loss = 3.4153, val loss = 3.0949
epoch : 173/500, train loss = 3.5327, val loss = 3.1673
epoch : 174/500, train loss = 3.1853, val loss = 4.8763
epoch : 175/500, train loss = 3.1942, val loss = 3.2560
epoch : 176/500, train loss = 3.3372, val loss = 3.3662
epoch : 177/500, train loss = 3.5979, val loss = 3.6490
epoch : 178/500, train loss = 3.1411, val loss = 5.6508
epoch : 179/500, train loss = 3.0340, val loss = 3.0231
epoch : 180/500, train loss = 3.0998, val loss = 2.9673
epoch : 181/500, train loss = 3.1242, val loss = 2.9651
epoch : 182/500, train loss = 3.0719, val loss = 3.0966
epoch : 183/500, train loss = 3.0433, val loss = 3.1255
epoch : 184/500, train loss = 2.8710, val loss = 2.7229
epoch : 185/500, train loss = 3.0079, val loss = 4.6145
epoch : 186/500, train loss = 3.2671, val loss = 3.3020
epoch : 187/500, train loss = 3.3859, val loss = 3.1046
epoch : 188/500, train loss = 3.1382, val loss = 3.1250
epoch : 189/500, train loss = 3.2335, val loss = 3.0936
epoch : 190/500, train loss = 3.0612, val loss = 3.7197
epoch : 191/500, train loss = 2.9871, val loss = 3.4771
epoch : 192/500, train loss = 3.0040, val loss = 2.9959
epoch : 193/500, train loss = 2.9449, val loss = 2.7938
epoch : 194/500, train loss = 2.8625, val loss = 3.1950
epoch : 195/500, train loss = 2.7469, val loss = 2.6954
epoch : 196/500, train loss = 2.8946, val loss = 4.4220
epoch : 197/500, train loss = 2.8613, val loss = 2.8433
epoch : 198/500, train loss = 2.7197, val loss = 2.8134
epoch : 199/500, train loss = 2.7790, val loss = 2.7671
epoch : 200/500, train loss = 2.8411, val loss = 7.1748
epoch : 201/500, train loss = 2.9076, val loss = 2.7309
epoch : 202/500, train loss = 2.8198, val loss = 2.8172
epoch : 203/500, train loss = 2.9845, val loss = 2.7360
epoch : 204/500, train loss = 3.0428, val loss = 2.8761
epoch : 205/500, train loss = 2.8187, val loss = 4.5698
epoch : 206/500, train loss = 2.7107, val loss = 2.8031
epoch : 207/500, train loss = 2.6411, val loss = 3.2188
epoch : 208/500, train loss = 2.8373, val loss = 2.6580
epoch : 209/500, train loss = 2.8003, val loss = 2.6283
epoch : 210/500, train loss = 2.7646, val loss = 3.1206
epoch : 211/500, train loss = 2.6467, val loss = 3.6493
epoch : 212/500, train loss = 2.6267, val loss = 2.7022
epoch : 213/500, train loss = 2.6863, val loss = 2.9356
epoch : 214/500, train loss = 2.8510, val loss = 2.8544
epoch : 215/500, train loss = 2.8021, val loss = 2.5727
epoch : 216/500, train loss = 2.7571, val loss = 3.0294
epoch : 217/500, train loss = 2.6290, val loss = 3.6644
epoch : 218/500, train loss = 2.6052, val loss = 3.1114
epoch : 219/500, train loss = 2.5709, val loss = 2.5419
epoch : 220/500, train loss = 2.5754, val loss = 2.6004
