epoch : 154/500, train loss = 1.8885, val loss = 1.9357
epoch : 155/500, train loss = 1.7630, val loss = 1.9612
epoch : 156/500, train loss = 1.7797, val loss = 1.8274
epoch : 157/500, train loss = 1.7263, val loss = 1.8866
epoch : 158/500, train loss = 1.6243, val loss = 1.8217
epoch : 159/500, train loss = 1.6287, val loss = 1.7785
epoch : 160/500, train loss = 1.6995, val loss = 1.7721
epoch : 161/500, train loss = 1.6142, val loss = 1.7911
epoch : 162/500, train loss = 1.7003, val loss = 1.7414
epoch : 163/500, train loss = 1.6618, val loss = 1.7584
epoch : 164/500, train loss = 1.6126, val loss = 1.9525
epoch : 165/500, train loss = 1.6882, val loss = 1.7935
epoch : 166/500, train loss = 1.5953, val loss = 1.9180
epoch : 167/500, train loss = 1.9173, val loss = 1.8494
epoch : 168/500, train loss = 1.7761, val loss = 1.8057
epoch : 169/500, train loss = 1.6591, val loss = 1.8367
epoch : 170/500, train loss = 1.6711, val loss = 1.8389
epoch : 171/500, train loss = 1.6890, val loss = 1.7800
epoch : 172/500, train loss = 1.6604, val loss = 1.7201
epoch : 173/500, train loss = 1.6204, val loss = 1.7020
epoch : 174/500, train loss = 1.6813, val loss = 1.9611
epoch : 175/500, train loss = 2.0276, val loss = 1.9362
epoch : 176/500, train loss = 1.8489, val loss = 1.7633
epoch : 177/500, train loss = 1.7218, val loss = 1.7122
epoch : 178/500, train loss = 1.6130, val loss = 1.8644
epoch : 179/500, train loss = 1.6411, val loss = 1.6916
epoch : 180/500, train loss = 1.5911, val loss = 1.9729
epoch : 181/500, train loss = 1.6877, val loss = 1.7380
epoch : 182/500, train loss = 1.6771, val loss = 1.8150
epoch : 183/500, train loss = 1.6018, val loss = 1.8001
epoch : 184/500, train loss = 1.5864, val loss = 1.6615
epoch : 185/500, train loss = 1.5194, val loss = 1.6519
epoch : 186/500, train loss = 1.5231, val loss = 1.6245
epoch : 187/500, train loss = 1.4942, val loss = 1.9319
epoch : 188/500, train loss = 1.5230, val loss = 1.6434
epoch : 189/500, train loss = 1.5783, val loss = 1.8016
epoch : 190/500, train loss = 1.5737, val loss = 1.6564
epoch : 191/500, train loss = 1.5847, val loss = 1.9940
epoch : 192/500, train loss = 1.5597, val loss = 1.6871
epoch : 193/500, train loss = 1.4553, val loss = 1.6520
epoch : 194/500, train loss = 1.6350, val loss = 2.0482
epoch : 195/500, train loss = 1.6133, val loss = 1.8013
epoch : 196/500, train loss = 1.7490, val loss = 1.9902
epoch : 197/500, train loss = 1.6050, val loss = 1.6737
epoch : 198/500, train loss = 1.4828, val loss = 1.6060
epoch : 199/500, train loss = 1.5823, val loss = 1.8176
epoch : 200/500, train loss = 1.5348, val loss = 1.9253
epoch : 201/500, train loss = 1.4775, val loss = 1.7643
epoch : 202/500, train loss = 1.6513, val loss = 1.9079
epoch : 203/500, train loss = 2.7049, val loss = 3.3226
epoch : 204/500, train loss = 2.9111, val loss = 2.4313
epoch : 205/500, train loss = 2.1803, val loss = 2.6705
epoch : 206/500, train loss = 1.9121, val loss = 1.9735
epoch : 207/500, train loss = 1.6979, val loss = 1.7397
epoch : 208/500, train loss = 1.7035, val loss = 1.7825
epoch : 209/500, train loss = 1.6250, val loss = 1.7025
epoch : 210/500, train loss = 1.5644, val loss = 1.6777
epoch : 211/500, train loss = 1.5013, val loss = 1.8459
epoch : 212/500, train loss = 1.5475, val loss = 1.7985
epoch : 213/500, train loss = 1.5849, val loss = 1.6440
epoch : 214/500, train loss = 1.5602, val loss = 1.6799
epoch : 215/500, train loss = 1.5002, val loss = 1.7239
epoch : 216/500, train loss = 1.4729, val loss = 1.7432
epoch : 217/500, train loss = 1.5227, val loss = 1.7188
epoch : 218/500, train loss = 1.5219, val loss = 1.6853
epoch : 219/500, train loss = 1.4781, val loss = 1.5836
epoch : 220/500, train loss = 1.3880, val loss = 1.6250
epoch : 221/500, train loss = 1.4427, val loss = 1.8041
epoch : 222/500, train loss = 1.5187, val loss = 1.6859
epoch : 223/500, train loss = 1.4087, val loss = 1.6070
epoch : 224/500, train loss = 1.4735, val loss = 2.0234
epoch : 225/500, train loss = 1.8751, val loss = 1.7545
epoch : 226/500, train loss = 1.5999, val loss = 1.7719
epoch : 227/500, train loss = 1.4713, val loss = 1.6215
epoch : 228/500, train loss = 1.4956, val loss = 1.6931
epoch : 229/500, train loss = 1.4395, val loss = 1.5590
epoch : 230/500, train loss = 1.4202, val loss = 1.7263
epoch : 231/500, train loss = 1.5425, val loss = 1.8986
epoch : 232/500, train loss = 1.6627, val loss = 1.6581
epoch : 233/500, train loss = 1.4677, val loss = 1.6743
epoch : 234/500, train loss = 1.4102, val loss = 1.5864
epoch : 235/500, train loss = 1.4085, val loss = 1.5896
epoch : 236/500, train loss = 1.4483, val loss = 1.6887
epoch : 237/500, train loss = 1.3868, val loss = 1.6090
epoch : 238/500, train loss = 1.3251, val loss = 1.5418
epoch : 239/500, train loss = 1.4390, val loss = 1.7665
epoch : 240/500, train loss = 1.3831, val loss = 1.5436
epoch : 241/500, train loss = 1.3756, val loss = 1.6074
epoch : 242/500, train loss = 1.3291, val loss = 1.7827
epoch : 243/500, train loss = 1.3926, val loss = 1.6340
epoch : 244/500, train loss = 1.3524, val loss = 1.9376
epoch : 245/500, train loss = 1.3572, val loss = 1.5855
epoch : 246/500, train loss = 1.3271, val loss = 1.5091
epoch : 247/500, train loss = 1.3389, val loss = 1.6339
epoch : 248/500, train loss = 1.2946, val loss = 1.4743
epoch : 249/500, train loss = 1.2896, val loss = 1.7688
epoch : 250/500, train loss = 1.3378, val loss = 1.5124
epoch : 251/500, train loss = 1.2840, val loss = 1.5089
epoch : 252/500, train loss = 1.2635, val loss = 1.5024
epoch : 253/500, train loss = 1.2676, val loss = 1.5206
epoch : 254/500, train loss = 1.2330, val loss = 1.5833
epoch : 255/500, train loss = 1.2827, val loss = 1.5325
epoch : 256/500, train loss = 1.2342, val loss = 1.6435
epoch : 257/500, train loss = 1.2307, val loss = 1.4723
epoch : 258/500, train loss = 1.2528, val loss = 1.5542
epoch : 259/500, train loss = 1.2802, val loss = 1.6214
epoch : 260/500, train loss = 1.4255, val loss = 1.7066
epoch : 261/500, train loss = 1.4540, val loss = 1.5551
epoch : 262/500, train loss = 1.3693, val loss = 1.5432
epoch : 263/500, train loss = 1.3081, val loss = 1.4848
epoch : 264/500, train loss = 1.3424, val loss = 1.7087
epoch : 265/500, train loss = 1.7029, val loss = 1.6455
epoch : 266/500, train loss = 1.4920, val loss = 1.5630
epoch : 267/500, train loss = 1.3118, val loss = 1.5392
epoch : 268/500, train loss = 1.2641, val loss = 1.5823
epoch : 269/500, train loss = 1.2840, val loss = 1.4971
epoch : 270/500, train loss = 1.2145, val loss = 1.4850
epoch : 271/500, train loss = 1.2099, val loss = 1.6012
epoch : 272/500, train loss = 1.2852, val loss = 1.5100
epoch : 273/500, train loss = 1.2421, val loss = 1.5561
epoch : 274/500, train loss = 1.1901, val loss = 1.4698
epoch : 275/500, train loss = 1.1872, val loss = 1.4691
epoch : 276/500, train loss = 1.1764, val loss = 1.4847
